,min,mean,max,std
cancel_count_one,0.0,0.759450682008,69.0,2.1267462258
total_amount_seven,0.0,2726.78635811,175731.0,6015.03548538
total_count_seven,0.0,6.9997216294,181.0,9.70253607909
success_amount_seven,0.0,993.623784853,63100.0,1543.98399197
success_count_seven,0.0,3.30028764962,56.0,3.87418599893
pay_amount_seven,0.0,1239.25180638,96611.0,1956.81829772
pay_count_seven,0.0,3.7630880579,78.0,4.25590801012
refund_amount_seven,0.0,245.628021527,35651.0,848.581064582
refund_count_seven,0.0,0.462800408277,31.0,1.11245674389
cancel_amount_seven,0.0,1258.53884717,143883.88,4511.87219532
cancel_count_seven,0.0,2.21031827039,150.0,5.37973681884
after_ious_count,0.0,72.745624942,5183.0,99.554503198
after_ious_amount,0.0,29769.8644483,5419331.81,75669.065655
after_ious_success_count,0.0,35.5040920479,4000.0,55.7261547159
after_ious_success_amount,0.0,13031.9065673,2947013.5,41873.3232634
after_ious_pay_count,0.0,40.902310476,4440.0,62.3087562914
after_ious_pay_amount,0.0,15137.186169,3058910.5,45933.7901229
after_ious_refund_count,0.0,5.39821842813,440.0,9.63683691532
after_ious_refund_amount,0.0,2105.27960174,310836.0,5320.78234284
after_ious_cancel_count,0.0,21.0241068943,1468.0,35.9312718992
after_ious_cancel_amount,0.0,11966.5471358,2134032.0,31224.5143412
success_amount_one_ratio,-1.0,62.424867774,100.0,40.4787439436
success_count_one_ratio,-1.0,60.3911106987,100.0,39.1853997343
pay_amount_one_ratio,-1.0,69.3509510996,100.0,37.2681679432
pay_count_one_ratio,-1.0,66.7394451146,100.0,36.5477743223
refund_amount_one_ratio,-1.0,6.77260833256,100.0,20.4232481098
refund_count_one_ratio,-1.0,6.22893198478,100.0,18.7807807351
cancel_amount_one_ratio,-1.0,14.556704092,100.0,25.7312929261
cancel_count_one_ratio,-1.0,13.0099842257,100.0,23.1033400221
success_amount_seven_ratio,-1.0,62.3701772293,100.0,34.7401515321
success_count_seven_ratio,-1.0,61.7963626241,100.0,32.3030318631
pay_amount_seven_ratio,-1.0,69.8374315672,100.0,30.868118344
pay_count_seven_ratio,-1.0,68.3873805326,100.0,29.0942456235
refund_amount_seven_ratio,-1.0,7.33502830101,100.0,17.9842900363
refund_count_seven_ratio,-1.0,6.52665862485,100.0,15.9322768703
cancel_amount_seven_ratio,-1.0,22.3037765612,100.0,27.4689148454
cancel_count_seven_ratio,-1.0,18.8231418762,100.0,23.2484293856
after_ious_success_count_ratio,-1.0,52.3816275401,100.0,22.2843554744
after_ious_success_amount_ratio,-1.0,49.3272339241,100.0,25.4715300585
after_ious_pay_count_ratio,-1.0,59.729961956,100.0,21.2108734388
after_ious_pay_amount_ratio,-1.0,57.3063932449,100.0,24.46478741
after_ious_refund_count_ratio,-1.0,7.00528904148,100.0,8.70293635032
after_ious_refund_amount_ratio,-1.0,7.60879651109,100.0,10.2393679371
after_ious_cancel_count_ratio,-1.0,24.9735919087,100.0,17.7590634158
after_ious_cancel_amount_ratio,-1.0,33.7005103461,100.0,23.6379631176
flight_amount,0.0,721.647694163,136522.0,2678.84762017
flight_count,0.0,0.617407441774,36.0,1.44731846931
flight_pay_amount,0.0,393.149763385,48462.0,1039.77011827
flight_pay_count,0.0,0.373202189849,19.0,0.724438249961
flight_success_amount,0.0,341.632513687,28337.0,907.896268718
flight_success_count,0.0,0.322724320312,17.0,0.650083279981
flight_success_amount_avg,-1.0,268.128678968,16020.0,603.396107794
flight_success_amount_max,-1.0,282.65728867,16020.0,652.090648308
flight_refund_amount,0.0,51.5172496984,24320.0,363.361988974
flight_refund_count,0.0,0.050477869537,8.0,0.256989741372
flight_cancel_amount,0.0,272.152380069,118053.0,1941.88867831
flight_cancel_count,0.0,0.213436021156,33.0,1.00968026671
flight_first_class_count,0.0,0.0126194673842,8.0,0.129912829321
flight_aboard_count,0.0,0.00293217036281,3.0,0.0596205675553
flight_order_before_avg,-1.0,0.707377464084,207.0,5.74640850404
flight_price_z_score_avg,-3.10043125779,-0.724281547159,16.8609957771,0.78226715626
train_amount,0.0,392.633157651,82473.3,1627.90624831
train_count,0.0,1.17828709288,70.0,2.68446882515
train_pay_amount,0.0,182.041963441,18633.5,557.202305753
train_pay_count,0.0,0.654913241162,24.0,1.20499381349
train_success_amount,0.0,110.660256101,12051.0,337.607737572
train_success_count,0.0,0.447341560731,15.0,0.804580916112
train_success_amount_avg,-1.0,77.2986578776,4465.0,200.441096862
train_success_amount_max,-1.0,86.0143323745,4465.0,226.074029227
train_refund_amount,0.0,71.3817073397,13256.0,380.550295639
train_refund_count,0.0,0.207571680431,22.0,0.723366727947
train_cancel_amount,0.0,204.257902941,77579.8,1276.01492002
train_cancel_count,0.0,0.486740280226,65.0,1.89990493928
train_first_class_count,0.0,0.0515171197921,8.0,0.277619807816
train_aboard_count,0.0,7.42321610838e-05,1.0,0.00861556894214
train_order_before_avg,-1.0,0.109926642169,80.875,3.07990350684
hotel_amount,0.0,283.679113482,86363.59,1095.66224631
hotel_count,0.0,1.00673656862,45.0,1.7729510022
hotel_pay_amount,0.0,165.52678649,18382.0,422.515925362
hotel_pay_count,0.0,0.690915839287,11.0,1.01798104846
hotel_success_amount,0.0,160.325204974,18382.0,391.044137167
hotel_success_count,0.0,0.680746033219,11.0,1.00206595671
hotel_success_amount_avg,-1.0,105.860518512,8916.48,247.234020502
hotel_success_amount_max,-1.0,114.100120442,12790.0,278.948724188
hotel_refund_amount,0.0,5.20158151619,8821.0,109.572334052
hotel_refund_count,0.0,0.0101698060685,5.0,0.114012248061
hotel_cancel_amount,0.0,116.472349448,86000.59,918.609084529
hotel_cancel_count,0.0,0.310234759209,45.0,1.21328727926
hotel_first_class_count,0.0,0.0158671244317,4.0,0.148072615228
hotel_aboard_count,0.0,0.0100770158671,8.0,0.136469271292
hotel_order_before_avg,-3.33333333333,-0.297865082823,167.0,2.65118034124
hotel_noshow_count,0.0,0.003767282175,2.0,0.0636403454277
holiday_amount,0.0,18.4731929108,109036.0,650.489213731
holiday_count,0.0,0.0151433608611,27.0,0.313671692293
holiday_pay_amount,0.0,5.48282453373,27065.0,227.234636144
holiday_pay_count,0.0,0.0033218892085,3.0,0.0645337229663
holiday_success_amount,0.0,5.48282453373,27065.0,227.234636144
holiday_success_count,0.0,0.0033218892085,3.0,0.0645337229663
holiday_success_amount_avg,-1.0,3.53106925242,19494.0,168.629965076
holiday_success_amount_max,-1.0,3.75132226037,19494.0,176.318135112
holiday_refund_amount,0.0,0.0,0.0,0.0
holiday_refund_count,0.0,0.0,0.0,0.0
holiday_cancel_amount,0.0,12.7441217407,85841.0,525.399740283
holiday_cancel_count,0.0,0.00989143546441,27.0,0.272380930969
holiday_first_class_count,0.0,0.0,0.0,0.0
holiday_aboard_count,0.0,0.000352602765148,1.0,0.0187745832941
holiday_order_before_avg,-17288.0,-3.92388900441,74.1666666667,196.934936428
debit_count,-1.0,0.108378955182,3.0,1.00232699063
debit_self_count,-1.0,-0.122947016795,3.0,0.857621557339
